address,employees,exec1_born,exec1_name,exec1_pay,exec1_title,exec2_born,exec2_name,exec2_pay,exec2_title,exec3_born,exec3_name,exec3_pay,exec3_title,govscore,industry,name_tk,sector
"1600 Amphitheatre Parkway,Mountain View, CA 94043,United States","135,301",1973,Mr. Sundar  Pichai,4.01M,CEO & Director,1973,Mr. Lawrence Edward Page,1,Co-Founder & Director,1974,Mr. Sergey  Brin,1,Co-Founder & Director,The pillar scores are Audit: 2; Board: 4; Shareholder Rights: 10; Compensation: 10.,Internet Content & Information,Alphabet Inc. (GOOG),Communication Services
"6601 West Broad Street,Richmond, VA 23230,United States",,1970,Mr. William F. Gifford Jr.,,CEO & Director,1966,Mr. Salvatore  Mancuso,2.15M,Exec. VP & CFO,1972,Mr. Jody L. Begley,2.02M,Exec. VP & COO,The pillar scores are Audit: 1; Board: 4; Shareholder Rights: 6; Compensation: 10.,Tobacco,"Altria Group, Inc. (MO)",Consumer Defensive
"410 Terry Avenue North,Seattle, WA 98109-5210,United States","1,298,000",1964,Mr. Jeffrey P. Bezos,1.68M,"Founder, Chairman, Pres & CEO",1964,Mr. Brian T. Olsavsky,163.2k,Sr. VP & CFO,1968,Mr. Andrew R. Jassy,348.81k,Chief Exec. Officer of Amazon Web Services Inc.,The pillar scores are Audit: 1; Board: 9; Shareholder Rights: 2; Compensation: 9.,Internet Retail,"Amazon.com, Inc. (AMZN)",Consumer Cyclical
"Thurgauerstrasse 34,Zurich 8050,Switzerland","47,000",1971,"Mr. Ronald Stephen Delia B.Sc., MBA",5.58M,"MD, CEO & Exec. Director",1971,"Mr. Michael  John Casamento BBus (Acct), GradCert Mktg, MBA, CPA",2.83M,Exec. VP of Fin. & CFO,1958,Mr. Ian G. Wilson,2.24M,Exec. VP of Strategy & Devel.,The pillar scores are Audit: 10; Board: 9; Shareholder Rights: 9; Compensation: 6.,Packaging & Containers,Amcor plc (AMCR),Consumer Cyclical
"1901 Chouteau Avenue,St. Louis, MO 63103,United States","9,323",1962,"Mr. Warner L. Baxter CPA, CPA",3.67M,"Chairman, Pres & CEO",1970,Mr. Michael L. Moehn,1.35M,"Exec. VP, CFO, Chairman of Ameren Missouri & Pres of Ameren Services",1967,Mr. Martin J. Lyons Jr.,1.67M,Chairman & Pres of Ameren Missouri,The pillar scores are Audit: 1; Board: 7; Shareholder Rights: 7; Compensation: 4.,Utilities—Regulated Electric,Ameren Corporation (AEE),Utilities
"1 Skyview Drive,Fort Worth, TX 76155,United States","102,700",1962,Mr. William Douglas Parker,63.71k,Chairman & CEO,1964,Mr. Robert D. Isom Jr.,1.7M,Pres,1965,Mr. Derek J. Kerr,1.23M,Exec. VP & CFO,The pillar scores are Audit: 1; Board: 6; Shareholder Rights: 7; Compensation: 4.,Airlines,American Airlines Group Inc. (AAL),Industrials
"1 Riverside Plaza,Columbus, OH 43215-2373,United States","17,408",1960,Mr. Nicholas K. Akins,5.19M,"Chairman, Pres & CEO",1966,Ms. Lisa M. Barton,1.48M,Exec. VP & COO,1970,Mr. David M. Feinberg,1.62M,"Exec. VP, Gen. Counsel & Sec.",The pillar scores are Audit: 1; Board: 5; Shareholder Rights: 8; Compensation: 3.,Utilities—Regulated Electric,"American Electric Power Company, Inc. (AEP)",Utilities
"200 Vesey Street,New York, NY 10285,United States",,1960,Mr. Stephen Joseph Squeri,10.95M,Chairman & CEO,1961,Mr. Jeffrey C. Campbell,8.44M,Chief Financial Officer,1962,Ms. Laureen E. Seeger,4.75M,Chief Legal Officer,The pillar scores are Audit: 1; Board: 6; Shareholder Rights: 5; Compensation: 1.,Credit Services,American Express Company (AXP),Financial Services
"175 Water Street,New York, NY 10038,United States","46,000",1947,Mr. Brian Charles Duperreault,7.78M,CEO & Director,1967,Mr. Peter Salvatore Zaffino,9.83M,"Pres, Global COO & Director",1957,Mr. Mark Donald Lyons,3.98M,Exec. VP & CFO,The pillar scores are Audit: 1; Board: 1; Shareholder Rights: 6; Compensation: 5.,Insurance—Diversified,"American International Group, Inc. (AIG)",Financial Services
"116 Huntington Avenue,11th Floor,Boston, MA 02116,United States","5,454",1959,Mr. Thomas A. Bartlett CPA,2.2M,"Pres, CEO & Director",1953,Mr. Edmund  DiSanto J.D.,1.77M,"Exec. VP, Chief Admin. Officer, Gen. Counsel & Sec.",1950,Mr. Amit  Sharma,2.43M,Exec. VP & Pres of Asia,The pillar scores are Audit: 1; Board: 5; Shareholder Rights: 2; Compensation: 7.,REIT—Specialty,American Tower Corporation (REIT) (AMT),Real Estate
"1 Water Street,Camden, NJ 08102-1658,United States","6,800",1963,Mr. Walter J. Lynch,1.25M,"Pres, CEO & Director",1963,Ms. M. Susan Hardwick,857.81k,Exec. VP & CFO,1959,"Mr. Michael A. Sgro J.D., Esq.",911.24k,"Exec. VP, Gen. Counsel & Sec.",The pillar scores are Audit: 1; Board: 1; Shareholder Rights: 3; Compensation: 5.,Utilities—Regulated Water,"American Water Works Company, Inc. (AWK)",Utilities
"55 Ameriprise Financial Center,Minneapolis, MN 55474,United States",,1959,Mr. James M. Cracchiolo,7.41M,Chairman & CEO,1943,Mr. Walter S. Berman,3.49M,Exec. VP & CFO,1958,Mr. Colin  Moore AIIMR,2.3M,Exec. VP & Global Chief Investment Officer,The pillar scores are Audit: 1; Board: 8; Shareholder Rights: 4; Compensation: 7.,Asset Management,"Ameriprise Financial, Inc. (AMP)",Financial Services
"1300 Morris Drive,Chesterbrook, PA 19087-5594,United States","22,000",1961,Mr. Steven H. Collis,4.55M,"Chairman, Pres & CEO",1963,Mr. James F. Cleary Jr.,1.78M,Exec. VP & CFO,1957,Ms. Gina K. Clark,1.46M,Exec. VP and Chief Communications & Admin. Officer,The pillar scores are Audit: 1; Board: 5; Shareholder Rights: 5; Compensation: 6.,Medical Distribution,AmerisourceBergen Corporation (ABC),Healthcare
"1100 Cassatt Road,Berwyn, PA 19312-1177,United States",,1965,Mr. David A. Zapico,3.84M,Chairman & CEO,1962,Mr. William Joseph Burke,1.34M,Exec. VP & CFO,1965,Mr. John Wesley Hardin Jr.,1.1M,Pres of Electronic Instruments,The pillar scores are Audit: 1; Board: 7; Shareholder Rights: 9; Compensation: 2.,Specialty Industrial Machinery,"AMETEK, Inc. (AME)",Industrials
"One Amgen Center Drive,Thousand Oaks, CA 91320-1799,United States","24,300",1963,Mr. Robert A. Bradway,5.61M,"Chairman, CEO & Pres",1961,Mr. Jonathan P. Graham,2.44M,"Exec. VP, Gen. Counsel & Sec.",1963,Dr. David M. Reese M.D.,2.54M,Exec. VP of R&D,The pillar scores are Audit: 1; Board: 9; Shareholder Rights: 1; Compensation: 1.,Drug Manufacturers—General,Amgen Inc. (AMGN),Healthcare
"358 Hall Avenue,PO Box 5030,Wallingford, CT 06492,United States","80,000",1970,Mr. Richard Adam Norwitt,1.52M,"Pres, CEO & Director",1970,Mr. Craig A. Lampo,631.29k,Sr. VP & CFO,1959,Mr. Luc  Walter,1.51M,Sr. VP and Group GM of Military & Aerospace Operations,The pillar scores are Audit: 1; Board: 6; Shareholder Rights: 5; Compensation: 7.,Electronic Components,Amphenol Corporation (APH),Technology
"One Technology Way,PO Box 9106,Norwood, MA 02062,United States","15,900",1934,Dr. Raymond S. Stata Ph.D.,265.32k,Founder & Chairman,1960,Mr. Vincent T. Roche,2.37M,"Pres, CEO & Director",1970,Mr. Prashanth  Mahendra-Rajah,1.08M,Sr. VP of Fin. & CFO,The pillar scores are Audit: 1; Board: 7; Shareholder Rights: 8; Compensation: 8.,Semiconductors,"Analog Devices, Inc. (ADI)",Technology
"2600 ANSYS Drive,Canonsburg, PA 15317,United States","4,500",1962,Dr. Ajei S. Gopal,2.04M,"Pres, CEO & Director",1965,Ms. Maria T. Shields,787.52k,CFO and Sr. VP of Fin. & Admin.,1963,Mr. Richard S. Mahoney,889.33k,Sr. VP of Worldwide Sales & Customer Excellence,The pillar scores are Audit: 1; Board: 3; Shareholder Rights: 2; Compensation: 5.,Software—Application,"ANSYS, Inc. (ANSS)",Technology
"220 Virginia Avenue,Indianapolis, IN 46204,United States",,1961,Ms. Gail Koziara Boudreaux,4.32M,"Pres, CEO & Director",1960,Mr. John Edward Gallina,1.84M,Exec. VP & CFO,1953,Ms. Gloria Marie McCarthy,1.86M,Exec. VP and Chief Admin. Officer,The pillar scores are Audit: 1; Board: 1; Shareholder Rights: 6; Compensation: 1.,Healthcare Plans,"Anthem, Inc. (ANTM)",Healthcare
"The Leadenhall Building,The Aon Centre 122 Leadenhall Street,London EC3V 4AN,United Kingdom","50,000",1963,Mr. Gregory Clarence Case,2.3M,CEO & Exec. Director,1965,Mr. Eric  Andersen,1.02M,Pres,1972,Ms. Christa  Davies,2.71M,Exec. VP of Global Fin. & CFO,The pillar scores are Audit: 1; Board: 8; Shareholder Rights: 8; Compensation: 6.,Insurance Brokers,Aon Plc (AON),Financial Services
"11270 West Park Place,Suite 170 PO Box 245008,Milwaukee, WI 53224-9508,United States",,1960,Mr. Kevin J. Wheeler,1.93M,"Chairman, Pres, & CEO",1963,Mr. Charles T. Lauber,828.7k,Exec. VP & CFO,1963,Mr. James F. Stern,1.09M,"Exec. VP, Gen. Counsel & Sec.",The pillar scores are Audit: 1; Board: 10; Shareholder Rights: 10; Compensation: 5.,Specialty Industrial Machinery,A. O. Smith Corporation (AOS),Industrials
"One Post Oak Central,Suite 100 2000 Post Oak Boulevard,Houston, TX 77056,United States","3,163",1967,Mr. John J. Christmann IV,3.31M,"CEO, Pres & Director",1961,Mr. Stephen J. Riney,1.75M,Exec. VP & CFO,1954,Mr. P. Anthony Lannie,1.38M,Exec. VP & Gen. Counsel,The pillar scores are Audit: 1; Board: 3; Shareholder Rights: 6; Compensation: 9.,Oil & Gas E&P,Apache Corporation (APA),Energy
"One Apple Park Way,Cupertino, CA 95014,United States","147,000",1961,Mr. Timothy D. Cook,14.77M,CEO & Director,1964,Mr. Luca  Maestri,4.6M,CFO & Sr. VP,1964,Mr. Jeffrey E. Williams,4.59M,Chief Operating Officer,The pillar scores are Audit: 1; Board: 1; Shareholder Rights: 1; Compensation: 3.,Consumer Electronics,Apple Inc. (AAPL),Technology
"3050 Bowers Avenue,PO Box 58039,Santa Clara, CA 95052-3299,United States","24,000",1957,Mr. Gary E. Dickerson,3M,"Pres, CEO & Exec. Director",1966,Mr. Daniel J. Durn,1.61M,Sr. VP & CFO,1965,Ms. Teri A. Little,2.7M,"Sr. VP, Chief Legal Officer & Corp. Sec.",The pillar scores are Audit: 1; Board: 2; Shareholder Rights: 1; Compensation: 2.,Semiconductor Equipment & Materials,"Applied Materials, Inc. (AMAT)",Technology
"5 Hanover Quay,Grand Canal Dock,Dublin 2,Ireland","151,000",1962,Mr. Kevin P. Clark,3.66M,"Pres, CEO & Director",1970,Mr. Joseph R. Massaro,1.9M,Sr. VP of Bus. Operations & CFO,1959,Mr. David M. Sherbin,1.19M,"Sr. VP, Gen. Counsel, Chief Compliance Officer & Sec.",The pillar scores are Audit: 1; Board: 4; Shareholder Rights: 8; Compensation: 1.,Auto Parts,Aptiv PLC (APTV),Consumer Cyclical
"77 West Wacker Drive,Suite 4600,Chicago, IL 60601,United States",,1961,Mr. Juan Ricardo Luciano,4.41M,"Chairman, CEO & Pres",1962,Mr. Ray Guy Young,2.04M,Exec. VP & CFO,1966,Mr. Vincent F. Macciocchi,1.36M,"Chief Sales & Marketing Officer, Pres of Nutrition and Sr. VP",The pillar scores are Audit: 1; Board: 3; Shareholder Rights: 5; Compensation: 2.,Farm Products,Archer-Daniels-Midland Company (ADM),Consumer Defensive
"5453 Great America Parkway,Santa Clara, CA 95054,United States","2,300",1955,Dr. Andreas B. Bechtolsheim,,"Co-Founder, Chairman & Chief Devel. Officer",1961,Ms. Jayshree V. Ullal,308.53k,"Pres, CEO & Director",1972,Mr. Kenneth  Duda,474.33k,"Co-Founder, CTO & Sr. VP of Software Engineering",The pillar scores are Audit: 1; Board: 10; Shareholder Rights: 10; Compensation: 9.,Computer Hardware,"Arista Networks, Inc. (ANET)",Technology
"2850 Golf Road,Rolling Meadows, IL 60008-4050,United States","32,401",1952,Mr. J. Patrick Gallagher Jr.,6.27M,"Chairman, Pres & CEO",1962,Mr. Douglas K. Howell,3.37M,Corp. VP & CFO,1963,Mr. Walter D. Bay,2.5M,"Corp. VP, Gen. Counsel & Sec.",The pillar scores are Audit: 1; Board: 3; Shareholder Rights: 4; Compensation: 3.,Insurance Brokers,Arthur J. Gallagher & Co. (AJG),Financial Services
"28 Liberty Street,41st Floor,New York, NY 10005,United States",,1962,Mr. Alan B. Colberg,3.14M,"Pres, CEO & Director",1964,Mr. Richard Steven Dziadzio,1.53M,Exec. VP & CFO,1959,Mr. Gene Edward Mergelmeyer,1.88M,Exec. VP & COO,The pillar scores are Audit: 1; Board: 3; Shareholder Rights: 4; Compensation: 3.,Insurance—Specialty,"Assurant, Inc. (AIZ)",Financial Services
"208 South Akard Street,Dallas, TX 75202,United States","230,760",1963,Mr. John T. Stankey,10.83M,CEO & Director,1959,Mr. John Joseph Stephens,4.49M,Sr. Exec. VP & CFO,1969,Mr. David R. McAtee II,3.99M,Sr. Exec. VP & Gen. Counsel,The pillar scores are Audit: 1; Board: 3; Shareholder Rights: 4; Compensation: 9.,Telecom Services,AT&T Inc. (T),Communication Services
"1800 Three Lincoln Centre,5430 LBJ Freeway,Dallas, TX 75240,United States","4,694",1963,Mr. John Kevin Akers,1.69M,"CEO, Pres & Director",1972,Mr. Christopher T. Forsythe,1M,Sr. VP & CFO,1970,Ms. Karen E. Hartsfield,851.31k,"Sr. VP, Gen. Counsel & Corp. Sec.",The pillar scores are Audit: 1; Board: 5; Shareholder Rights: 8; Compensation: 7.,Utilities—Regulated Gas,Atmos Energy Corporation (ATO),Utilities
"111 McInnis Parkway,San Rafael, CA 94903,United States","10,100",1965,Dr. Andrew  Anagnost,1.89M,"Interim CFO, Pres, CEO & Director",1965,Dr. Pascal W. Di Fronzo,884.63k,"Exec. VP of Corp. Affairs, Chief Legal Officer & Corp. Sec.",1966,Mr. Steven M. Blum,1.09M,Chief Revenue Officer,The pillar scores are Audit: 1; Board: 1; Shareholder Rights: 2; Compensation: 5.,Software—Application,"Autodesk, Inc. (ADSK)",Technology
"One ADP Boulevard,Roseland, NJ 07068,United States","58,000",1964,Mr. Carlos A. Rodriguez,2.34M,"CEO, Pres & Director",1968,Ms. Kathleen A. Winters,2.53M,Corp. VP & CFO,1969,Mr. Donald  Weinstein,912.51k,Corp. VP of Global Product & Technology,The pillar scores are Audit: 1; Board: 1; Shareholder Rights: 2; Compensation: 4.,Staffing & Employment Services,"Automatic Data Processing, Inc. (ADP)",Industrials
"123 South Front Street,Memphis, TN 38103,United States","60,000",1965,Mr. William C. Rhodes III,4.17M,"Chairman, Pres & CEO",1961,Mr. Mark A. Finestone,1.44M,"Exec. VP of Merchandising, Supply Chain, Marketing & eCommerce",1962,Mr. Thomas B. Newbern,1.42M,"Exec. VP of Store Operations, Commercial, Loss Prevention, ALLDATA & Customer Satisfaction",The pillar scores are Audit: 1; Board: 7; Shareholder Rights: 3; Compensation: 7.,Specialty Retail,"AutoZone, Inc. (AZO)",Consumer Cyclical
"4040 Wilson Boulevard,Suite 1000,Arlington, VA 22203,United States",,1961,Mr. Timothy J. Naughton,3.19M,Chairman & CEO,1966,Mr. Kevin P. O'Shea,,Chief Financial Officer,1967,Mr. Sean J. Breslin,1.45M,Chief Operating Officer,The pillar scores are Audit: 1; Board: 9; Shareholder Rights: 6; Compensation: 3.,REIT—Residential,"AvalonBay Communities, Inc. (AVB)",Real Estate
"207 Goode Avenue,Glendale, CA 91203,United States","30,000",1971,Mr. Mitchell R. Butier,2.63M,"Chairman, Pres & CEO",1973,Mr. Gregory S. Lovins,1.16M,Sr. VP & CFO,1969,Mr. Deon  Stander,1.06M,VP and GM of Retail Branding & Information Solutions,The pillar scores are Audit: 1; Board: 9; Shareholder Rights: 3; Compensation: 3.,Business Equipment & Supplies,Avery Dennison Corporation (AVY),Industrials
"17021 Aldine Westfield Road,Houston, TX 77073-5101,United States",,1973,Mr. Lorenzo  Simonelli,4.11M,Chairman & CEO,1976,Mr. Brian  Worrell,2.48M,Chief Financial Officer,1969,Ms. Maria Claudia Borras,1.6M,Exec. VP of Oilfield Services,The pillar scores are Audit: 2; Board: 8; Shareholder Rights: 8; Compensation: 1.,Oil & Gas Equipment & Services,Baker Hughes Company (BKR),Energy
"9200 West 108th Circle,PO Box 5000,Westminster, CA 80021-2510,United States","21,500",1965,Mr. John A. Hayes,5.54M,Chairman & CEO,1973,Mr. Daniel William Fisher,1.64M,Pres & Director,1962,Mr. Scott C. Morrison,1.91M,Exec. VP & CFO,The pillar scores are Audit: 1; Board: 10; Shareholder Rights: 10; Compensation: 1.,Packaging & Containers,Ball Corporation (BLL),Consumer Cyclical
"Bank of America Corporate Center,100 North Tryon Street,Charlotte, NC 28255,United States","212,505",1959,Mr. Brian Thomas Moynihan,1.83M,"Chairman, CEO & Pres",1960,Mr. Paul M. Donofrio,5.85M,Chief Financial Officer,1957,Mr. Thomas Kell Montag,8.97M,COO & Pres of Global Banking and Markets,The pillar scores are Audit: 1; Board: 4; Shareholder Rights: 2; Compensation: 2.,Banks—Diversified,Bank of America Corporation (BAC),Financial Services
"240 Greenwich Street,New York, NY 10286,United States","48,500",1957,Mr. Thomas P. Gibbons,2.47M,CEO & Director,1964,Ms. Bridget E. Engle,2M,Chief Operations & Technology Officer,,Mr. Robin Antony Vince,,Vice Chairman & CEO of Global Market Infrastructure,The pillar scores are Audit: 1; Board: 2; Shareholder Rights: 1; Compensation: 5.,Asset Management,The Bank of New York Mellon Corporation (BK),Financial Services
