EBITDA,EPS,NI,Q_earnings_gr,Q_rev_gr,ROA,ROE,Rev,_5Y_div_yld,bv_per_sh,cash,cash_per_sh,curr_ratio,debt,debt_to_eq,fcf,fwd_div,fwd_div_yld,gross_profit,insiders,institution,name_tk,op_cf,oper_margin,payout_ratio,profit_margin,rev_sh,sh_float,sh_short,shares_out,short_ratio,short_to_float,short_to_out
1.94B,0.31,776.5M,17.70%,2.00%,5.06%,15.26%,12.48B,N/A,3.33,762M,0.49,1.28,6.94B,143.09,1.33B,0.47,4.18%,2.54B,0.21%,37.36%,Amcor plc (AMCR),1.48B,10.89%,94.00%,6.23%,7.95,1.55B,32.17M,1.56B,5.24,2.07%,2.07%
2.45B,3.42,850M,0.80%,-1.60%,2.91%,10.17%,5.53B,2.88,34.34,6M,0.02,0.75,10.8B,125.14,-829.25M,2.06,2.84%,2.74B,0.44%,76.64%,Ameren Corporation (AEE),1.83B,24.89%,57.89%,15.37%,22.42,245.84M,4.3M,247.21M,2.28,2.00%,1.74%
-9.02B,-18.36,-8.89B,N/A,-64.40%,-11.67%,N/A,17.34B,1.28,-11.05,6.86B,11.05,0.67,41.02B,N/A,-8.95B,N/A,N/A,-5.54B,0.93%,45.42%,American Airlines Group Inc. (AAL),-6.54B,-65.68%,N/A,-51.25%,35.83,615.23M,97.37M,621.48M,1.34,21.03%,15.67%
5.4B,3.86,1.92B,2.10%,-5.80%,2.45%,9.41%,14.92B,3.30,41.03,618.7M,1.25,0.48,33.39B,161.82,-2.78B,2.96,3.75%,6.5B,0.01%,76.78%,"American Electric Power Company, Inc. (AEP)",3.84B,20.02%,72.54%,12.85%,30.14,495.87M,6.54M,496.39M,2.04,1.32%,1.32%
N/A,3.77,3.04B,-15.10%,-8.50%,1.61%,13.61%,31.36B,1.52,28.57,33B,40.99,1.62,45B,195.65,N/A,1.72,1.34%,22.09B,0.10%,86.88%,American Express Company (AXP),N/A,13.70%,45.62%,10.00%,38.95,652.31M,8.45M,805.2M,1.98,1.29%,1.05%
9.06B,-5.72,-5.04B,-56.10%,-22.10%,0.53%,-7.57%,45.65B,2.64,73.86,23.63B,27.42,0.75,38.24B,59.18,8.17B,1.28,3.02%,15.38B,0.05%,92.27%,"American International Group, Inc. (AIG)",2.09B,10.22%,N/A,-10.87%,52.37,860.43M,10.32M,861.53M,2.11,1.20%,1.20%
4.9B,4.23,1.89B,-6.90%,3.00%,4.71%,34.18%,7.84B,1.79,8.40,1.63B,3.66,0.87,31.69B,668.09,3.33B,4.84,2.12%,5.36B,0.27%,93.09%,American Tower Corporation (REIT) (AMT),3.74B,38.83%,102.36%,24.08%,17.69,442.84M,4.27M,444.21M,1.76,1.12%,0.96%
1.9B,3.65,662M,10.00%,6.50%,3.47%,10.42%,3.76B,1.78,35.92,578M,3.19,0.87,10.79B,165.68,-1.21B,2.2,1.33%,2.07B,0.25%,87.05%,"American Water Works Company, Inc. (AWK)",1.43B,34.42%,57.53%,17.62%,20.75,180.76M,1.52M,181.27M,1.67,0.96%,0.84%
2.9B,12.20,1.53B,-61.80%,2.70%,1.06%,26.46%,11.96B,2.55,50.23,6.85B,58.6,7.84,4.94B,84.27,N/A,4.16,1.94%,5.82B,0.20%,87.14%,"Ameriprise Financial, Inc. (AMP)",N/A,22.55%,28.21%,12.83%,96.59,116.35M,2.22M,116.8M,3.49,2.15%,1.90%
2.65B,-15.76,-3.22B,99.80%,9.70%,3.28%,-250.82%,194.55B,1.74,-3.41,4.89B,23.89,0.99,4.59B,N/A,1.93B,1.76,1.68%,5.19B,28.05%,67.12%,AmerisourceBergen Corporation (ABC),2.97B,1.16%,N/A,-1.66%,951.55,147.3M,2.73M,204.71M,1.95,1.86%,1.34%
1.28B,3.77,872.44M,0.10%,-8.10%,6.36%,15.77%,4.54B,0.65,25.87,1.21B,5.27,2.34,2.41B,40.57,N/A,0.72,0.59%,1.54B,0.44%,88.44%,"AMETEK, Inc. (AME)",N/A,22.64%,19.10%,19.22%,19.79,228.95M,1.87M,230.06M,2.09,0.91%,0.81%
12.77B,12.31,7.26B,-5.20%,7.10%,9.51%,76.14%,25.42B,2.62,16.27,10.65B,18.43,1.81,33.44B,355.46,9.04B,7.04,3.00%,19.27B,0.19%,77.99%,Amgen Inc. (AMGN),10.5B,36.69%,51.99%,28.57%,43.39,576.53M,7.56M,577.57M,2.97,1.31%,1.31%
1.95B,3.91,1.2B,12.00%,12.80%,8.87%,24.15%,8.6B,0.91,17.99,1.74B,5.8,2.38,4.1B,75.12,937.11M,N/A,N/A,2.66B,1.48%,95.65%,Amphenol Corporation (APH),1.59B,19.11%,26.60%,13.99%,28.85,297.97M,2.15M,299.58M,1.69,0.96%,0.72%
2.38B,3.28,1.22B,39.20%,5.80%,4.58%,10.30%,5.6B,2.12,32.47,1.06B,2.86,1.84,5.69B,47.41,1.57B,2.48,1.56%,3.69B,0.32%,94.55%,"Analog Devices, Inc. (ADI)",2.01B,28.01%,73.17%,21.79%,15.20,368.18M,29.83M,369.56M,10.96,8.10%,8.07%
506.94M,4.40,384.11M,-15.50%,6.70%,6.32%,11.79%,1.54B,N/A,41.81,845.21M,9.84,2.60,545.87M,15.21,380.04M,N/A,N/A,1.37B,0.96%,94.89%,"ANSYS, Inc. (ANSS)",512.99M,27.62%,0.00%,24.88%,18.03,85.16M,979.15k,85.88M,2.12,1.28%,1.14%
8.21B,17.98,4.57B,-41.00%,16.10%,5.38%,14.08%,121.87B,1.36,132.21,30.73B,122.39,1.55,20.04B,60.35,6.37B,4.52,1.54%,33.82B,0.17%,93.98%,"Anthem, Inc. (ANTM)",10.69B,5.79%,21.13%,3.75%,479.23,250.79M,3.21M,248.7M,2.63,1.29%,1.29%
3.21B,8.45,1.97B,40.10%,2.80%,5.68%,57.37%,11.07B,1.00,15.25,1.19B,5.2,1.07,8.63B,240.75,2.62B,1.84,0.81%,5.17B,1.00%,108.34%,Aon Plc (AON),2.78B,25.25%,21.07%,17.79%,47.72,226.78M,23.57M,228.62M,16.2,10.42%,10.31%
527.9M,2.12,344.9M,31.40%,11.10%,9.00%,19.62%,2.9B,1.41,11.35,689.6M,4.23,1.83,147.6M,7.99,463.68M,1.04,1.70%,1.11B,0.93%,96.53%,A. O. Smith Corporation (AOS),562.1M,15.47%,46.23%,11.91%,17.81,133.7M,4.96M,135.43M,3.67,4.20%,3.07%
2.61B,-20.78,-7.85B,N/A,-24.80%,-6.79%,-189.80%,4.67B,3.24,-4.35,162M,0.43,1.24,9.04B,"6,369.01",1.03B,N/A,N/A,4.63B,0.27%,85.69%,Apache Corporation (APA),1.67B,-39.83%,N/A,-167.83%,12.38,354.52M,17.87M,377.48M,1.94,6.44%,4.73%
85.16B,3.69,63.93B,29.30%,21.40%,13.36%,82.09%,294.14B,1.44,3.94,76.83B,4.58,1.16,112.04B,169.19,66.89B,0.82,0.61%,104.96B,0.07%,59.66%,Apple Inc. (AAPL),88.92B,25.25%,21.77%,21.74%,17.13,16.77B,91.86M,16.79B,0.79,0.55%,0.55%
4.84B,3.92,3.62B,62.00%,24.90%,13.50%,38.52%,17.2B,1.36,11.57,5.74B,6.28,3.00,5.71B,53.95,2.41B,0.88,0.78%,7.71B,0.41%,83.07%,"Applied Materials, Inc. (AMAT)",3.8B,25.97%,21.94%,21.04%,18.78,909.98M,10.08M,917.66M,1.28,1.10%,1.10%
1.57B,6.66,1.77B,30.00%,17.10%,3.31%,30.09%,13.07B,1.19,29.27,2.82B,10.45,1.85,4.4B,54.33,1.23B,N/A,N/A,1.94B,0.47%,99.99%,Aptiv PLC (APTV),1.41B,6.28%,3.30%,13.81%,49.60,268.21M,3.78M,270.02M,1.91,1.63%,1.40%
2.75B,3.15,1.77B,36.30%,10.10%,2.86%,9.05%,64.36B,3.05,35.52,667M,1.18,5.46,9.93B,49.41,-1.21B,1.48,2.69%,4.45B,0.39%,82.13%,Archer-Daniels-Midland Company (ADM),-2.39B,2.76%,45.71%,2.75%,114.31,560.84M,4.15M,556.1M,1.53,0.75%,0.75%
732.81M,8.94,712.18M,-19.40%,-7.50%,10.80%,24.82%,2.22B,N/A,40.78,2.85B,37.61,5.50,74.9M,2.43,703.76M,N/A,N/A,1.54B,28.30%,65.24%,"Arista Networks, Inc. (ANET)",875.35M,31.19%,0.00%,32.06%,29.19,55.1M,1.56M,75.66M,2.51,3.39%,2.06%
1.63B,4.20,818.8M,44.40%,0.50%,3.34%,14.99%,6.78B,2.32,31.94,664.6M,3.43,1.10,5.02B,80.54,732.99M,1.92,1.65%,2.51B,1.03%,85.67%,Arthur J. Gallagher & Co. (AJG),1.75B,16.54%,42.86%,12.07%,35.51,191.79M,2.15M,193.65M,2.61,1.43%,1.11%
897.73M,6.99,423.1M,9.10%,-0.70%,1.07%,7.61%,10.09B,2.17,100.34,N/A,N/A,0.46,2.25B,37.83,N/A,2.64,2.02%,7.54B,0.85%,97.87%,"Assurant, Inc. (AIZ)",N/A,7.51%,36.48%,4.38%,167.83,58.71M,1.8M,58.76M,5.33,3.49%,3.06%
53.8B,-0.75,-5.37B,N/A,-2.40%,2.93%,-2.01%,171.76B,5.78,22.69,9.74B,1.37,0.82,179.45B,100.11,38.95B,2.08,7.29%,91.84B,0.08%,53.53%,AT&T Inc. (T),43.13B,14.72%,N/A,-3.01%,24.00,7.12B,113.56M,7.13B,2.42,1.59%,1.59%
1.3B,5.15,639.99M,21.80%,4.40%,3.49%,9.60%,2.86B,2.15,56.29,514.08M,4.01,1.49,5.13B,71.05,-985.05M,2.5,2.72%,1.53B,0.97%,89.27%,Atmos Energy Corporation (ATO),1.02B,30.17%,45.81%,22.39%,23.01,127.08M,2.43M,128.16M,2.27,2.45%,1.90%
691M,1.93,428.7M,98.20%,13.00%,6.81%,N/A,3.65B,N/A,0.31,1.62B,7.35,0.83,2.1B,"3,028.72",1.15B,N/A,N/A,2.98B,0.17%,93.34%,"Autodesk, Inc. (ADSK)",1.48B,16.40%,0.00%,11.74%,16.63,219.55M,1.95M,219.89M,1.26,0.89%,0.88%
3.81B,5.77,2.48B,-0.60%,0.70%,4.21%,44.07%,14.59B,2.09,13.78,1.61B,3.77,1.06,2.45B,41.53,2.49B,3.72,2.23%,6.51B,0.10%,82.23%,"Automatic Data Processing, Inc. (ADP)",3.08B,22.68%,63.43%,17.01%,34.03,427.08M,4.14M,427.94M,2.05,0.97%,0.97%
3.01B,76.33,1.83B,26.30%,12.90%,11.99%,N/A,12.99B,N/A,-44.94,1.71B,74.93,1.06,8.52B,N/A,1.87B,N/A,N/A,6.77B,0.34%,95.06%,"AutoZone, Inc. (AZO)",2.96B,20.14%,0.00%,14.05%,555.81,22.67M,457.4k,22.76M,1.83,2.02%,2.01%
1.41B,5.89,827.63M,103.50%,-6.70%,2.29%,7.61%,2.3B,3.22,77.22,216.98M,1.56,N/A,7.56B,70.33,N/A,6.36,3.55%,1.47B,0.27%,93.95%,"AvalonBay Communities, Inc. (AVB)",N/A,30.50%,107.98%,35.94%,16.40,138.77M,2.89M,139.61M,3.49,2.82%,2.07%
1.07B,6.61,555.9M,17.80%,12.30%,9.31%,41.12%,6.97B,1.88,17.83,252.3M,3,1.25,2.12B,141.13,488.1M,2.48,1.43%,1.92B,0.64%,91.96%,Avery Dennison Corporation (AVY),751.3M,12.38%,35.70%,7.97%,82.89,83.55M,596.06k,83.42M,1.31,0.81%,0.71%
2.11B,N/A,-9.94B,"1,260.40%",-13.40%,1.09%,-59.77%,20.7B,N/A,N/A,4.13B,5.8,1.61,7.63B,41.84,357.88M,0.72,3.23%,3.2B,4.30%,96.19%,Baker Hughes Company (BKR),1.3B,3.84%,N/A,-48.01%,30.67,711.05M,9.59M,685.82M,1.48,1.81%,0.93%
1.93B,1.76,585M,41.90%,14.10%,4.44%,18.31%,11.78B,0.79,10.20,1.37B,4.18,1.05,7.8B,233.74,338.75M,0.6,0.68%,2.46B,0.57%,86.19%,Ball Corporation (BLL),1.43B,10.74%,34.09%,4.97%,36.11,324.82M,7.57M,327.11M,4.65,2.69%,2.31%
N/A,1.87,16.47B,-21.80%,-6.40%,0.68%,6.66%,74.21B,1.82,28.72,937.1B,108.32,N/A,498.1B,N/A,N/A,0.72,2.19%,74.21B,0.10%,71.10%,Bank of America Corporation (BAC),N/A,25.60%,38.50%,24.11%,8.48,8.63B,72.54M,8.65B,1.36,0.94%,0.84%
N/A,3.83,3.42B,-47.90%,-20.00%,0.85%,8.26%,15.47B,2.19,46.53,211.51B,238.51,N/A,62.72B,N/A,N/A,1.24,2.94%,15.47B,0.24%,85.07%,The Bank of New York Mellon Corporation (BK),N/A,29.55%,32.38%,23.38%,17.37,885.28M,6.98M,886.76M,1.21,0.79%,0.79%
2.65B,2.13,1.1B,N/A,4.70%,N/A,13.44%,11.67B,1.10,16.77,4.36B,8.53,N/A,7.16B,83.19,N/A,0.98,1.26%,4.73B,0.14%,88.73%,Baxter International Inc. (BAX),N/A,15.69%,44.84%,9.44%,22.93,509.88M,7.14M,510.82M,2.8,1.40%,1.40%
5.4B,5.26,1.51B,260.80%,25.80%,3.78%,6.97%,18.21B,1.34,84.87,3.26B,11.24,1.36,17.82B,72.25,3.96B,3.32,1.31%,7.92B,0.66%,86.95%,"Becton, Dickinson and Company (BDX)",4.36B,17.71%,61.66%,8.78%,64.14,289.83M,2.15M,290.56M,1.7,0.75%,0.74%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A, (BRK.B),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
3.22B,6.56,1.73B,33.40%,21.40%,7.84%,47.90%,45.52B,2.46,15.84,5.82B,22.46,1.12,4.73B,115.71,4.38B,2.2,1.84%,10.05B,11.40%,80.80%,"Best Buy Co., Inc. (BBY)",5.54B,5.26%,32.92%,3.79%,175.16,231.59M,6.02M,258.83M,2.18,2.96%,2.32%
459.62M,116.69,3.52B,N/A,15.50%,2.11%,50.45%,2.38B,N/A,295.84,1.15B,38.7,2.36,645.41M,7.31,353.7M,N/A,N/A,1.26B,14.36%,79.60%,"Bio-Rad Laboratories, Inc. (BIO)",450.4M,13.58%,0.00%,147.91%,79.90,21.32M,551.82k,24.74M,2.55,2.56%,1.85%
5.11B,24.80,4B,-75.10%,-22.30%,11.22%,33.80%,13.44B,N/A,70.21,2.61B,17.13,1.84,7.91B,74.03,2.88B,N/A,N/A,11.64B,0.63%,87.89%,Biogen Inc. (BIIB),4.23B,34.63%,0.00%,29.76%,83.56,151.35M,3.67M,153.88M,2.72,2.42%,2.41%
6.17B,31.85,4.93B,19.00%,12.60%,N/A,14.90%,16.2B,2.45,222.12,6.32B,41.44,N/A,7.99B,22.19,N/A,16.52,2.29%,8.27B,1.22%,87.46%,"BlackRock, Inc. (BLK)",N/A,35.28%,45.59%,30.43%,105.58,150.64M,1.75M,152.53M,2.37,1.50%,1.14%
-6.41B,-20.88,-11.87B,N/A,-14.60%,-3.79%,N/A,58.16B,2.52,-31.45,25.59B,43.89,1.39,64.93B,N/A,-13.23B,N/A,N/A,-1.69B,0.12%,52.89%,The Boeing Company (BA),-18.41B,-14.89%,N/A,-20.42%,102.21,551.48M,11.7M,564.53M,0.88,2.01%,2.01%
2.29B,33.69,1.4B,-58.90%,-47.60%,5.25%,25.68%,8.9B,N/A,119.96,11.2B,273.4,3.17,12.45B,253.43,1.18B,N/A,N/A,15.07B,0.35%,96.27%,Booking Holdings Inc. (BKNG),1.74B,20.58%,0.00%,15.68%,216.13,40.81M,766.44k,40.95M,1.94,1.88%,1.87%
1.34B,1.76,362M,-42.80%,1.70%,5.27%,8.82%,8.8B,1.59,19.45,2.12B,8.67,2.35,2.84B,57.67,687.88M,0.68,1.59%,2.1B,0.39%,91.53%,BorgWarner Inc. (BWA),992M,10.10%,38.64%,4.11%,42.77,243.6M,13.16M,244.52M,4.9,5.96%,5.38%
1.59B,5.54,862.23M,-93.10%,-17.80%,2.56%,12.46%,2.77B,2.81,37.22,1.67B,10.72,4.97,13.49B,161.71,N/A,3.92,4.13%,1.73B,0.14%,97.42%,"Boston Properties, Inc. (BXP)",N/A,32.73%,70.76%,31.55%,17.79,155.39M,4.21M,155.72M,3.54,3.11%,2.70%
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.63B,N/A,N/A,Boston Scientific Corporation (BSX),N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
18.18B,-3.99,-9.02B,N/A,39.30%,3.90%,-20.08%,42.52B,2.82,16.85,16.45B,7.34,1.58,51.68B,136.43,16.39B,1.96,3.27%,34.05B,0.08%,75.79%,Bristol-Myers Squibb Company (BMY),14.05B,18.23%,N/A,-21.20%,18.83,2.21B,19.47M,2.24B,1.65,0.86%,0.86%
11.04B,6.33,2.66B,56.30%,12.00%,3.70%,12.12%,23.89B,2.50,58.66,7.62B,18.73,1.87,41.69B,174.42,11.88B,14.4,3.03%,17.37B,2.49%,83.17%,Broadcom Inc. (AVGO),12.06B,17.79%,205.37%,12.39%,59.42,399.82M,4.38M,404.5M,2.74,1.50%,1.08%
982.1M,4.43,518.6M,457.40%,8.90%,9.24%,40.53%,4.68B,1.64,12.38,366.2M,3.16,1.37,2.07B,144.26,737.3M,2.3,1.58%,1.26B,0.69%,88.34%,"Broadridge Financial Solutions, Inc. (BR)",670M,14.59%,50.34%,11.07%,40.66,115.14M,1.75M,115.8M,2.8,1.74%,1.52%
775M,3.72,506.42M,49.10%,19.90%,8.60%,28.53%,16.21B,2.31,13.83,243.8M,1.79,1.60,1.43B,75.96,397.86M,N/A,N/A,1.17B,0.84%,96.27%,"C.H. Robinson Worldwide, Inc. (CHRW)",499.19M,4.15%,54.84%,3.12%,119.58,135.38M,11.3M,135.95M,8.05,9.69%,8.31%
688.63M,0.53,216.26M,N/A,-20.30%,4.06%,9.98%,1.46B,1.13,5.32,170k,0,0.84,1.2B,56.47,-46.94M,0.4,2.30%,1.33B,2.01%,100.75%,Cabot Oil & Gas Corporation (COG),733.37M,19.77%,75.47%,14.86%,3.64,390.66M,21.45M,398.58M,4.05,6.22%,5.38%
718.66M,3.86,1.08B,59.20%,15.00%,10.66%,55.55%,2.52B,N/A,8.59,1.31B,4.68,1.55,696.58M,29.08,723.97M,N/A,N/A,2.07B,1.32%,88.72%,"Cadence Design Systems, Inc. (CDNS)",928.7M,23.00%,0.00%,42.68%,9.22,274.8M,2.86M,278.93M,1.91,1.19%,1.03%
